EXPORT FROM MATLAB: GPS_orbit_est.m 

 * Coordinates ORS (xF, yF) || Coordinates ITRF (x, y, z) || Coordinates phi, lambda, h ell
 -10055276.402629  24624449.812461        0.000000 || -20085947.452733  16637901.282801  -5216039.486957 ||       -0.197692         2.449811  20221033.251764 
 -10162774.761645  24580725.918845        0.000000 || -20107041.060928  16641827.412222  -5123529.809544 ||       -0.194138         2.450211  20221417.223425 
 -10270079.385828  24536533.438311        0.000000 || -20127830.753135  16645607.592366  -5030922.461604 ||       -0.190583         2.450607  20221800.940392 
 -10377188.238710  24491873.235053        0.000000 || -20148316.892027  16649240.454941  -4938219.212988 ||       -0.187027         2.450999  20222184.396961 
 -10484099.287729  24446746.182058        0.000000 || -20168499.850591  16652724.635345  -4845421.835200 ||       -0.183469         2.451388  20222567.587405 
 -10590810.504265  24401153.161095        0.000000 || -20188380.012105  16656058.772733  -4752532.101368 ||       -0.179911         2.451774  20222950.505976 
 -10697319.863676  24355095.062689        0.000000 || -20207957.770120  16659241.510079  -4659551.786207 ||       -0.176351         2.452156  20223333.146900 
 -10803625.345339  24308572.786109        0.000000 || -20227233.528428  16662271.494237  -4566482.665987 ||       -0.172791         2.452534  20223715.504383 
 -10909724.932683  24261587.239346        0.000000 || -20246207.701048  16665147.376009  -4473326.518498 ||       -0.169229         2.452910  20224097.572608 
 -11015616.613229  24214139.339095        0.000000 || -20264880.712192  16667867.810206  -4380085.123019 ||       -0.165667         2.453282  20224479.345734 
 -11121298.378626  24166230.010739        0.000000 || -20283252.996246  16670431.455710  -4286760.260283 ||       -0.162103         2.453651  20224860.817899 
 -11226768.224689  24117860.188325        0.000000 || -20301324.997741  16672836.975540  -4193353.712439 ||       -0.158538         2.454017  20225241.983218 
 -11332024.151434  24069030.814547        0.000000 || -20319097.171331  16675083.036911  -4099867.263027 ||       -0.154973         2.454380  20225622.835782 
 -11437064.163117  24019742.840730        0.000000 || -20336569.981764  16677168.311299  -4006302.696937 ||       -0.151407         2.454740  20226003.369662 
 -11541886.268269  23969997.226804        0.000000 || -20353743.903855  16679091.474503  -3912661.800376 ||       -0.147839         2.455098  20226383.578904 
 -11646488.479734  23919794.941291        0.000000 || -20370619.422461  16680851.206707  -3818946.360838 ||       -0.144271         2.455452  20226763.457532 
 -11750868.814704  23869136.961280        0.000000 || -20387197.032452  16682446.192541  -3725158.167067 ||       -0.140702         2.455804  20227142.999548 
 -11855025.294756  23818024.272413        0.000000 || -20403477.238686  16683875.121146  -3631299.009026 ||       -0.137133         2.456153  20227522.198932 
 -11958955.945889  23766457.868856        0.000000 || -20419460.555976  16685136.686230  -3537370.677858 ||       -0.133562         2.456500  20227901.049641 
 -12062658.798560  23714438.753289        0.000000 || -20435147.509065  16686229.586136  -3443374.965859 ||       -0.129991         2.456844  20228279.545608 
 -12166131.887720  23661967.936879        0.000000 || -20450538.632595  16687152.523898  -3349313.666438 ||       -0.126419         2.457186  20228657.680746 
 -12269373.252849  23609046.439260        0.000000 || -20465634.471079  16687904.207305  -3255188.574087 ||       -0.122846         2.457525  20229035.448945 
 -12372380.937995  23555675.288516        0.000000 || -20480435.578871  16688483.348961  -3161001.484347 ||       -0.119273         2.457862  20229412.844072 
 -12475152.991805  23501855.521157        0.000000 || -20494942.520134  16688888.666345  -3066754.193771 ||       -0.115699         2.458197  20229789.859971 
 -12577687.467565  23447588.182098        0.000000 || -20509155.868812  16689118.881873  -2972448.499893 ||       -0.112125         2.458530  20230166.490467 
 -12679982.423236  23392874.324640        0.000000 || -20523076.208595  16689172.722955  -2878086.201196 ||       -0.108549         2.458860  20230542.729359 
 -12782035.921484  23337715.010446        0.000000 || -20536704.132893  16689048.922061  -2783669.097072 ||       -0.104974         2.459189  20230918.570426 
 -12883846.029722  23282111.309525        0.000000 || -20550040.244799  16688746.216773  -2689198.987793 ||       -0.101397         2.459515  20231294.007424 
 -12985410.820141  23226064.300202        0.000000 || -20563085.157060  16688263.349852  -2594677.674476 ||       -0.097820         2.459840  20231669.034088 
 -13086728.369749  23169575.069105        0.000000 || -20575839.492043  16687599.069293  -2500106.959049 ||       -0.094243         2.460163  20232043.644130 
 -13187796.760402  23112644.711136        0.000000 || -20588303.881701  16686752.128385  -2405488.644218 ||       -0.090665         2.460484  20232417.831242 
 -13288614.078842  23055274.329455        0.000000 || -20600478.967542  16685721.285769  -2310824.533429 ||       -0.087086         2.460803  20232791.589091 
