EXPORT FROM MATLAB: GPS_orbit_est.m 

 * Coordinates ORS (xF, yF) || Coordinates ITRF (x, y, z) || Coordinates phi, lambda, h ell
 -15439265.451751  21684135.669783        0.000000 || -20796553.944847  16614074.633951   -220285.069419 ||       -0.008289         2.467531  20240892.572780 
 -15533791.801458  21616967.862036        0.000000 || -20802273.542105  16608484.611874   -125066.605919 ||       -0.004706         2.467830  20241254.661136 
 -15628022.715602  21549388.923411        0.000000 || -20807722.004273  16602682.650555    -29845.764068 ||       -0.001123         2.468128  20241616.161945 
 -15721956.414140  21481400.155902        0.000000 || -20812900.199733  16596667.660922     65375.645117 ||        0.002460         2.468426  20241977.068358 
 -15815591.122786  21413002.869140        0.000000 || -20817809.005419  16590438.560702    160595.810754 ||        0.006043         2.468723  20242337.373510 
 -15908925.073048  21344198.380364        0.000000 || -20822449.306777  16583994.274473    255812.922131 ||        0.009625         2.469021  20242697.070512 
 -16001956.502254  21274988.014399        0.000000 || -20826821.997719  16577333.733718    351025.168741 ||        0.013207         2.469320  20243056.152459 
 -16094683.653592  21205373.103626        0.000000 || -20830927.980580  16570455.876875    446230.740316 ||        0.016790         2.469618  20243414.612428 
 -16187104.776133  21135354.987959        0.000000 || -20834768.166071  16563359.649387    541427.826858 ||        0.020372         2.469916  20243772.443476 
 -16279218.124868  21064935.014820        0.000000 || -20838343.473238  16556044.003755    636614.618675 ||        0.023954         2.470215  20244129.638640 
 -16371021.960740  20994114.539108        0.000000 || -20841654.829416  16548507.899588    731789.306413 ||        0.027535         2.470514  20244486.190942 
 -16462514.550672  20922894.923176        0.000000 || -20844703.170182  16540750.303651    826950.081092 ||        0.031116         2.470814  20244842.093384 
 -16553694.167601  20851277.536804        0.000000 || -20847489.439310  16532770.189920    922095.134138 ||        0.034697         2.471114  20245197.338949 
 -16644559.090506  20779263.757172        0.000000 || -20850014.588727  16524566.539627   1017222.657415 ||        0.038278         2.471414  20245551.920605 
 -16735107.604445  20706854.968833        0.000000 || -20852279.578464  16516138.341312   1112330.843262 ||        0.041858         2.471715  20245905.831298 
 -16825338.000580  20634052.563688        0.000000 || -20854285.376611  16507484.590869   1207417.884525 ||        0.045438         2.472017  20246259.063960 
 -16915248.576210  20560857.940954        0.000000 || -20856032.959270  16498604.291600   1302481.974589 ||        0.049018         2.472320  20246611.611505 
 -17004837.634802  20487272.507144        0.000000 || -20857523.310506  16489496.454257   1397521.307415 ||        0.052597         2.472623  20246963.466829 
 -17094103.486022  20413297.676032        0.000000 || -20858757.422303  16480160.097098   1492534.077569 ||        0.056176         2.472928  20247314.622811 
 -17183044.445765  20338934.868632        0.000000 || -20859736.294510  16470594.245926   1587518.480260 ||        0.059754         2.473233  20247665.072313 
 -17271658.836185  20264185.513168        0.000000 || -20860460.934802  16460797.934144   1682472.711370 ||        0.063332         2.473539  20248014.808181 
 -17359944.985723  20189051.045043        0.000000 || -20860932.358621  16450770.202798   1777394.967489 ||        0.066910         2.473846  20248363.823244 
 -17447901.229144  20113532.906818        0.000000 || -20861151.589136  16440510.100624   1872283.445950 ||        0.070487         2.474155  20248712.110315 
 -17535525.907558  20037632.548180        0.000000 || -20861119.657188  16430016.684098   1967136.344859 ||        0.074063         2.474465  20249059.662189 
 -17622817.368458  19961351.425912        0.000000 || -20860837.601243  16419289.017479   2061951.863128 ||        0.077639         2.474775  20249406.471649 
 -17709773.965744  19884691.003870        0.000000 || -20860306.467343  16408326.172854   2156728.200514 ||        0.081214         2.475088  20249752.531458 
 -17796394.059755  19807652.752951        0.000000 || -20859527.309055  16397127.230188   2251463.557647 ||        0.084789         2.475401  20250097.834365 
 -17882676.017299  19730238.151066        0.000000 || -20858501.187418  16385691.277366   2346156.136065 ||        0.088363         2.475716  20250442.373104 
 -17968618.211679  19652448.683111        0.000000 || -20857229.170899  16374017.410237   2440804.138246 ||        0.091936         2.476033  20250786.140395 
 -18054219.022728  19574285.840938        0.000000 || -20855712.335334  16362104.732661   2535405.767643 ||        0.095509         2.476351  20251129.128939 
 -18139476.836833  19495751.123328        0.000000 || -20853951.763884  16349952.356555   2629959.228719 ||        0.099081         2.476671  20251471.331426 
 -18224390.046966  19416846.035960        0.000000 || -20851948.546979  16337559.401930   2724462.726973 ||        0.102652         2.476992  20251812.740530 
 -18308957.052712  19337572.091385        0.000000 || -20849703.782268  16324924.996943   2818914.468982 ||        0.106222         2.477316  20252153.348911 
 -18393176.260300  19257930.808992        0.000000 || -20847218.574564  16312048.277934   2913312.662427 ||        0.109792         2.477641  20252493.149213 
 -18477046.082628  19177923.714984        0.000000 || -20844494.035799  16298928.389472   3007655.516132 ||        0.113361         2.477968  20252832.134069 
 -18560564.939294  19097552.342347        0.000000 || -20841531.284962  16285564.484395   3101941.240093 ||        0.116929         2.478297  20253170.296096 
 -18643731.256625  19016818.230817        0.000000 || -20838331.448052  16271955.723857   3196168.045510 ||        0.120497         2.478628  20253507.627897 
 -18726543.467703  18935722.926856        0.000000 || -20834895.658024  16258101.277366   3290334.144824 ||        0.124063         2.478961  20253844.122064 
 -18809000.012393  18854267.983621        0.000000 || -20831225.054735  16244000.322824   3384437.751750 ||        0.127629         2.479296  20254179.771174 
 -18891099.337374  18772454.960930        0.000000 || -20827320.784889  16229652.046573   3478477.081303 ||        0.131193         2.479634  20254514.567793 
 -18972839.896162  18690285.425237        0.000000 || -20823184.001985  16215055.643433   3572450.349842 ||        0.134757         2.479974  20254848.504471 
 -19054220.149143  18607760.949601        0.000000 || -20818815.866261  16200210.316742   3666355.775092 ||        0.138320         2.480316  20255181.573748 
 -19135238.563597  18524883.113653        0.000000 || -20814217.544642  16185115.278398   3760191.576183 ||        0.141882         2.480661  20255513.768152 
 -19215893.613726  18441653.503571        0.000000 || -20809390.210681  16169769.748897   3853955.973683 ||        0.145443         2.481008  20255845.080197 
 -19296183.780683  18358073.712045        0.000000 || -20804335.044511  16154172.957374   3947647.189627 ||        0.149003         2.481358  20256175.502388 
 -19376107.552596  18274145.338248        0.000000 || -20799053.232779  16138324.141641   4041263.447553 ||        0.152562         2.481710  20256505.027217 
 -19455663.424598  18189869.987807        0.000000 || -20793545.968603  16122222.548224   4134802.972533 ||        0.156119         2.482066  20256833.647163 
 -19534849.898852  18105249.272769        0.000000 || -20787814.451505  16105867.432407   4228263.991207 ||        0.159676         2.482424  20257161.354697 
 -19613665.484579  18020284.811576        0.000000 || -20781859.887362  16089258.058262   4321644.731814 ||        0.163232         2.482784  20257488.142278 
 -19692108.698086  17934978.229027        0.000000 || -20775683.488347  16072393.698694   4414943.424226 ||        0.166786         2.483148  20257814.002353 
 -19770178.062786  17849331.156254        0.000000 || -20769286.472874  16055273.635473   4508158.299980 ||        0.170339         2.483515  20258138.927361 
 -19847872.109234  17763345.230684        0.000000 || -20762670.065538  16037897.159274   4601287.592310 ||        0.173891         2.483885  20258462.909730 
 -19925189.375145  17677022.096015        0.000000 || -20755835.497062  16020263.569712   4694329.536180 ||        0.177442         2.484257  20258785.941877 
 -20002128.405424  17590363.402179        0.000000 || -20748784.004237  16002372.175378   4787282.368316 ||        0.180992         2.484634  20259108.016211 
 -20078687.752192  17503370.805314        0.000000 || -20741516.829866  15984222.293875   4880144.327240 ||        0.184540         2.485013  20259429.125131 
 -20154865.974809  17416045.967731        0.000000 || -20734035.222704  15965813.251856   4972913.653299 ||        0.188087         2.485396  20259749.261028 
 -20230661.639905  17328390.557881        0.000000 || -20726340.437404  15947144.385052   5065588.588700 ||        0.191633         2.485782  20260068.416282 
 -20306073.321400  17240406.250330        0.000000 || -20718433.734454  15928215.038314   5158167.377544 ||        0.195178         2.486171  20260386.583267 
 -20381099.600531  17152094.725717        0.000000 || -20710316.380122  15909024.565646   5250648.265852 ||        0.198721         2.486564  20260703.754347 
 -20455739.065880  17063457.670732        0.000000 || -20701989.646397  15889572.330232   5343029.501603 ||        0.202262         2.486961  20261019.921879 
 -20529990.313395  16974496.778076        0.000000 || -20693454.810930  15869857.704481   5435309.334763 ||        0.205803         2.487362  20261335.078211 
 -20603851.946419  16885213.746436        0.000000 || -20684713.156972  15849880.070048   5527486.017321 ||        0.209341         2.487766  20261649.215685 
 -20677322.575712  16795610.280446        0.000000 || -20675765.973319  15829638.817876   5619557.803315 ||        0.212879         2.488174  20261962.326635 
 -20750400.819475  16705688.090660        0.000000 || -20666614.554250  15809133.348224   5711522.948868 ||        0.216415         2.488586  20262274.403388 
 -20823085.303380  16615448.893519        0.000000 || -20657260.199469  15788363.070698   5803379.712220 ||        0.219949         2.489002  20262585.438265 
 -20895374.660586  16524894.411314        0.000000 || -20647704.214043  15767327.404287   5895126.353758 ||        0.223482         2.489422  20262895.423581 
 -20967267.531771  16434026.372161        0.000000 || -20637947.908342  15746025.777389   5986761.136050 ||        0.227013         2.489846  20263204.351642 
 -21038762.565153  16342846.509959        0.000000 || -20627992.597982  15724457.627844   6078282.323874 ||        0.230543         2.490274  20263512.214753 
 -21109858.416513  16251356.564368        0.000000 || -20617839.603760  15702622.402967   6169688.184253 ||        0.234071         2.490706  20263819.005210 
 -21180553.749220  16159558.280766        0.000000 || -20607490.251596  15680519.559573   6260976.986485 ||        0.237598         2.491143  20264124.715304 
 -21250847.234254  16067453.410224        0.000000 || -20596945.872471  15658148.564010   6352147.002175 ||        0.241123         2.491585  20264429.337322 
 -21320737.550233  15975043.709467        0.000000 || -20586207.802367  15635508.892185   6443196.505264 ||        0.244646         2.492030  20264732.863547 
 -21390223.383431  15882330.940846        0.000000 || -20575277.382205  15612600.029599   6534123.772067 ||        0.248167         2.492481  20265035.286256 
 -21459303.427804  15789316.872300        0.000000 || -20564155.957783  15589421.471369   6624927.081297 ||        0.251687         2.492936  20265336.597722 
 -21527976.385016  15696003.277328        0.000000 || -20552844.879714  15565972.722256   6715604.714102 ||        0.255205         2.493396  20265636.790217 
 -21596240.964456  15602391.934948        0.000000 || -20541345.503367  15542253.296699   6806154.954093 ||        0.258721         2.493860  20265935.856007 
 -21664095.883266  15508484.629674        0.000000 || -20529659.188801  15518262.718836   6896576.087380 ||        0.262235         2.494330  20266233.787354 
 -21731539.866360  15414283.151472        0.000000 || -20517787.300706  15494000.522533   6986866.402595 ||        0.265747         2.494804  20266530.576520 
 -21798571.646452  15319789.295734        0.000000 || -20505731.208339  15469466.251409   7077024.190932 ||        0.269258         2.495283  20266826.215762 
 -21865189.964070  15225004.863239        0.000000 || -20493492.285462  15444659.458865   7167047.746173 ||        0.272766         2.495768  20267120.697336 
